Temperature Control Trainer (311A) -06-Dec-2018 10:43:42, , , , , , ,
Time,Time s,SP %,PV %,OP %,PB %,IT s,DT s
10:39:11,1,55,35.2,100,0,0,0
10:39:12,2,55,35.3,100,0,0,0
10:39:13,3,55,35.3,100,0,0,0
10:39:14,4,55,35.3,100,0,0,0
10:39:15,5,55,35.3,100,0,0,0
10:39:16,6,55,35.3,100,0,0,0
10:39:17,7,55,35.3,100,0,0,0
10:39:18,8,55,35.3,100,0,0,0
10:39:19,9,55,35.4,100,0,0,0
10:39:20,10,55,35.4,100,0,0,0
10:39:22,11,55,35.4,100,0,0,0
10:39:23,12,55,35.4,100,0,0,0
10:39:24,13,55,35.4,100,0,0,0
10:39:25,14,55,35.4,100,0,0,0
10:39:26,15,55,35.4,100,0,0,0
10:39:27,16,55,35.4,100,0,0,0
10:39:28,17,55,35.4,100,0,0,0
10:39:29,18,55,35.5,100,0,0,0
10:39:30,19,55,35.7,100,0,0,0
10:39:31,20,55,36,100,0,0,0
10:39:32,21,55,36.4,100,0,0,0
10:39:33,22,55,36.8,100,0,0,0
10:39:34,23,55,37.6,100,0,0,0
10:39:35,24,55,38.3,100,0,0,0
10:39:36,25,55,39,100,0,0,0
10:39:37,26,55,39.9,100,0,0,0
10:39:38,27,55,40.9,100,0,0,0
10:39:39,28,55,41.9,100,0,0,0
10:39:40,29,55,42.7,100,0,0,0
10:39:41,30,55,43.4,100,0,0,0
10:39:43,31,55,44.1,100,0,0,0
10:39:44,32,55,44.8,100,0,0,0
10:39:45,33,55,45.3,100,0,0,0
10:39:46,34,55,45.9,100,0,0,0
10:39:47,35,55,46.8,100,0,0,0
10:39:48,36,55,47.8,100,0,0,0
10:39:49,37,55,49.1,100,0,0,0
10:39:50,38,55,50,100,0,0,0
10:39:51,39,55,50.9,100,0,0,0
10:39:52,40,55,51.7,100,0,0,0
10:39:53,41,55,52.5,100,0,0,0
10:39:54,42,55,53.2,100,0,0,0
10:39:55,43,55,53.8,100,0,0,0
10:39:56,44,55,54.4,100,0,0,0
10:39:57,45,55,55,100,0,0,0
10:39:58,46,55,55.3,100,0,0,0
10:39:59,47,55,55.6,100,0,0,0
10:40:00,48,55,55.9,0,0,0,0
10:40:01,49,55,56.3,0,0,0,0
10:40:02,50,55,56.8,0,0,0,0
10:40:03,51,55,57.3,0,0,0,0
10:40:05,52,55,57.8,0,0,0,0
10:40:06,53,55,58.5,0,0,0,0
10:40:07,54,55,59.1,0,0,0,0
10:40:08,55,55,59.5,0,0,0,0
10:40:09,56,55,60,0,0,0,0
10:40:10,57,55,60.6,0,0,0,0
10:40:11,58,55,61.2,0,0,0,0
10:40:12,59,55,62,0,0,0,0
10:40:13,60,55,62.6,0,0,0,0
10:40:14,61,55,63.1,0,0,0,0
10:40:15,62,55,63.2,0,0,0,0
10:40:16,63,55,63.2,0,0,0,0
10:40:17,64,55,63,0,0,0,0
10:40:18,65,55,62.6,0,0,0,0
10:40:19,66,55,62.2,0,0,0,0
10:40:20,67,55,61.8,0,0,0,0
10:40:21,68,55,61.5,0,0,0,0
10:40:22,69,55,61.3,0,0,0,0
10:40:23,70,55,61.3,0,0,0,0
10:40:24,71,55,61.4,0,0,0,0
10:40:25,72,55,61.1,0,0,0,0
10:40:26,73,55,60.5,0,0,0,0
10:40:28,74,55,59.7,0,0,0,0
10:40:29,75,55,58.8,0,0,0,0
10:40:30,76,55,57.9,0,0,0,0
10:40:31,77,55,57.1,0,0,0,0
10:40:32,78,55,56.3,0,0,0,0
10:40:33,79,55,55.5,0,0,0,0
10:40:34,80,55,54.8,0,0,0,0
10:40:35,81,55,54.1,0,0,0,0
10:40:36,82,55,53.5,100,0,0,0
10:40:37,83,55,53,100,0,0,0
10:40:38,84,55,52.5,100,0,0,0
10:40:39,85,55,52,100,0,0,0
10:40:40,86,55,51.5,100,0,0,0
10:40:41,87,55,51,100,0,0,0
10:40:42,88,55,50.5,100,0,0,0
10:40:43,89,55,50.1,100,0,0,0
10:40:44,90,55,49.6,100,0,0,0
10:40:45,91,55,49.2,100,0,0,0
10:40:46,92,55,48.8,100,0,0,0
10:40:48,93,55,48.6,100,0,0,0
10:40:49,94,55,48.3,100,0,0,0
10:40:50,95,55,48.3,100,0,0,0
10:40:51,96,55,48.2,100,0,0,0
10:40:52,97,55,48.2,100,0,0,0
10:40:53,98,55,48.2,100,0,0,0
10:40:54,99,55,48.4,100,0,0,0
10:40:55,100,55,48.9,100,0,0,0
10:40:56,101,55,49.6,100,0,0,0
10:40:57,102,55,50.5,100,0,0,0
10:40:58,103,55,51.5,100,0,0,0
10:40:59,104,55,51.8,100,0,0,0
10:41:00,105,55,52.4,100,0,0,0
10:41:01,106,55,53.1,100,0,0,0
10:41:02,107,55,53.8,100,0,0,0
10:41:03,108,55,54.4,100,0,0,0
10:41:04,109,55,55,100,0,0,0
10:41:05,110,55,55.6,100,0,0,0
10:41:06,111,55,56.5,0,0,0,0
10:41:08,112,55,57.3,0,0,0,0
10:41:09,113,55,58.1,0,0,0,0
10:41:10,114,55,58.8,0,0,0,0
10:41:11,115,55,59.5,0,0,0,0
10:41:12,116,55,60,0,0,0,0
10:41:13,117,55,60.6,0,0,0,0
10:41:14,118,55,60.8,0,0,0,0
10:41:15,119,55,61.1,0,0,0,0
10:41:16,120,55,61.5,0,0,0,0
10:41:17,121,55,62.1,0,0,0,0
10:41:18,122,55,62.8,0,0,0,0
10:41:19,123,55,63.2,0,0,0,0
10:41:20,124,55,63.5,0,0,0,0
10:41:21,125,55,63.8,0,0,0,0
10:41:22,126,55,64.1,0,0,0,0
10:41:23,127,55,64.2,0,0,0,0
10:41:24,128,55,64.2,0,0,0,0
10:41:25,129,55,64.1,0,0,0,0
10:41:26,130,55,64.1,0,0,0,0
10:41:27,131,55,64,0,0,0,0
10:41:28,132,55,63.8,0,0,0,0
10:41:29,133,55,63.2,0,0,0,0
10:41:30,134,55,62.6,0,0,0,0
10:41:32,135,55,61.9,0,0,0,0
10:41:33,136,55,61.1,0,0,0,0
10:41:34,137,55,60.3,0,0,0,0
10:41:35,138,55,59.6,0,0,0,0
10:41:36,139,55,59,0,0,0,0
10:41:37,140,55,58.3,0,0,0,0
10:41:38,141,55,57.5,0,0,0,0
10:41:39,142,55,56.9,0,0,0,0
10:41:40,143,55,56.3,0,0,0,0
10:41:41,144,55,55.7,0,0,0,0
10:41:42,145,55,55.1,0,0,0,0
10:41:43,146,55,54.6,0,0,0,0
10:41:44,147,55,54,0,0,0,0
10:41:45,148,55,53.5,100,0,0,0
10:41:46,149,55,53,100,0,0,0
10:41:47,150,55,52.5,100,0,0,0
10:41:48,151,55,52.1,100,0,0,0
10:41:49,152,55,51.6,100,0,0,0
10:41:51,153,55,51.2,100,0,0,0
10:41:52,154,55,50.7,100,0,0,0
10:41:53,155,55,50.4,100,0,0,0
10:41:54,156,55,50.2,100,0,0,0
10:41:55,157,55,50,100,0,0,0
10:41:56,158,55,49.8,100,0,0,0
10:41:57,159,55,49.8,100,0,0,0
10:41:58,160,55,49.7,100,0,0,0
10:41:59,161,55,49.6,100,0,0,0
10:42:00,162,55,49.5,100,0,0,0
10:42:01,163,55,49.5,100,0,0,0
10:42:02,164,55,49.8,100,0,0,0
10:42:03,165,55,50.1,100,0,0,0
10:42:04,166,55,50.6,100,0,0,0
10:42:05,167,55,50.9,100,0,0,0
10:42:06,168,55,51.5,100,0,0,0
10:42:07,169,55,52,100,0,0,0
10:42:08,170,55,52.4,100,0,0,0
10:42:09,171,55,52.7,100,0,0,0
10:42:10,172,55,53.1,100,0,0,0
10:42:11,173,55,53.7,100,0,0,0
10:42:12,174,55,54.4,100,0,0,0
10:42:14,175,55,55.3,100,0,0,0
10:42:15,176,55,56,100,0,0,0
10:42:16,177,55,56.7,0,0,0,0
10:42:17,178,55,57.4,0,0,0,0
10:42:18,179,55,58,0,0,0,0
10:42:19,180,55,58.6,0,0,0,0
10:42:20,181,55,59.2,0,0,0,0
10:42:21,182,55,59.8,0,0,0,0
10:42:22,183,55,60.5,0,0,0,0
10:42:23,184,55,61.2,0,0,0,0
10:42:24,185,55,62,0,0,0,0
10:42:25,186,55,62.5,0,0,0,0
10:42:26,187,55,62.9,0,0,0,0
10:42:27,188,55,63.6,0,0,0,0
10:42:28,189,55,64.4,0,0,0,0
10:42:29,190,55,65.2,0,0,0,0
10:42:30,191,55,65.9,0,0,0,0
10:42:31,192,55,66.2,0,0,0,0
10:42:32,193,55,66.3,0,0,0,0
10:42:33,194,55,66.3,0,0,0,0
10:42:35,195,55,66,0,0,0,0
10:42:36,196,55,65.6,0,0,0,0
10:42:37,197,55,65.1,0,0,0,0
10:42:38,198,55,64.7,0,0,0,0
10:42:39,199,55,64.1,0,0,0,0
10:42:40,200,55,63.6,0,0,0,0
10:42:41,201,55,62.9,0,0,0,0
10:42:42,202,55,62.2,0,0,0,0
10:42:43,203,55,61.5,0,0,0,0
10:42:44,204,55,60.9,0,0,0,0
10:42:45,205,55,60.4,0,0,0,0
10:42:46,206,55,60,0,0,0,0
10:42:47,207,55,59.7,0,0,0,0
10:42:48,208,55,59.1,0,0,0,0
10:42:49,209,55,58.5,0,0,0,0
10:42:50,210,55,57.9,0,0,0,0
10:42:51,211,55,57.3,0,0,0,0
10:42:52,212,55,56.8,0,0,0,0
10:42:53,213,55,56,0,0,0,0
10:42:54,214,55,55.4,0,0,0,0
10:42:56,215,55,54.7,0,0,0,0
10:42:57,216,55,54.2,0,0,0,0
10:42:58,217,55,53.6,100,0,0,0
10:42:59,218,55,53.1,100,0,0,0
10:43:00,219,55,52.6,100,0,0,0
10:43:01,220,55,52.1,100,0,0,0
10:43:02,221,55,51.6,100,0,0,0
10:43:03,222,55,51.2,100,0,0,0
10:43:04,223,55,50.8,100,0,0,0
10:43:05,224,55,50.3,100,0,0,0
10:43:06,225,55,49.9,100,0,0,0
10:43:07,226,55,49.7,100,0,0,0
10:43:08,227,55,49.4,100,0,0,0
10:43:09,228,55,49.3,100,0,0,0
10:43:10,229,55,49.1,100,0,0,0
10:43:11,230,55,49.2,100,0,0,0
10:43:12,231,55,49.4,100,0,0,0
10:43:13,232,55,49.8,100,0,0,0
10:43:14,233,55,50.2,100,0,0,0
10:43:15,234,55,50.6,100,0,0,0
10:43:16,235,55,51,100,0,0,0
10:43:18,236,55,51.4,100,0,0,0
10:43:19,237,55,51.6,100,0,0,0
10:43:20,238,55,51.8,100,0,0,0
10:43:21,239,55,52,100,0,0,0
10:43:22,240,55,52.4,100,0,0,0
10:43:23,241,55,52.7,100,0,0,0
10:43:24,242,55,53.2,100,0,0,0
10:43:25,243,55,53.6,100,0,0,0
10:43:26,244,55,54.1,100,0,0,0
10:43:27,245,55,55,100,0,0,0
10:43:28,246,55,56.1,100,0,0,0
10:43:29,247,55,57.2,0,0,0,0
10:43:30,248,55,58.1,0,0,0,0
10:43:31,249,55,59,0,0,0,0
10:43:32,250,55,60,0,0,0,0
